CHAPTER,NUMBER,GRADING PERIOD,TITLE
1,1,1,Numbers 0 to 10
1,2,1,"More Than, Fewer Than, and As Many As"
1,3,1,Comparing and Ordering Numbers Up to 10
1,4,1,Numbers 11 to 100
1,5,1,"Skip Counting by 2s, 5s, and 10s"
1,6,1,Place Values Through Tens
1,7,1,Writing Numbers in Expanded Form
1,8,1,Ordinal Numbers
2,1,1,Putting Things Together
2,2,1,Sums of 11 up to 18
2,3,1,Zero in Addition
2,4,1,Order Property of Addition
2,5,1,Addition of Three One-digit Numbers with Sums Up to 18
2,6,1,Addition without Regrouping
2,7,1,Addition with Regrouping
2,8,1,Mental Addition
3,1,2,Subtraction as Taking Away
3,2,2,Fact Families
3,3,2,Subtraction of One-digit Number from Minuends Up to 18
3,4,2,Subtraction without Regrouping
3,5,2,Subtraction with Regrouping
3,6,2,Solving Word Problems Involving Addition or Subtraction
4,1,2,Recognizing Money
4,2,2,Telling How Much
4,3,2,Money of Equal Value
4,4,2,Comparing Amounts
4,5,2,Solving Word Problems Involving Addition or Subtraction of Money
5,1,3,Multiplication as Repeated Addition
5,2,3,Properties of Multiplication
5,3,3,Multiplication Facts of 2
5,4,3,Multiplication Facts of 5
5,5,3,Multiplication Facts of 10
5,6,3,Multiplication Facts of 3 and 4
6,1,3,Let Us Divide
6,2,3,Relationship Between Multiplication and Division
7,1,3,Equal Parts
7,2,3,One-half of a Whole
7,3,3,One-half of a Group of Objects
7,4,3,One-fourth of a Whole
7,5,3,One-fourth of a Group of Objects
8,1,4,Identifying the Four Basic Shapes
8,2,4,Identifying Common 3D Shapes
8,3,4,Identifying Patterns
8,4,4,Completing Patterns
9,1,4,Days of the Week
9,2,4,Months of the Year
9,3,4,Telling Time
9,4,4,Heavy or Light
9,5,4,Height and Length
9,6,4,Capacity
10,1,4,Collecting and Organizing Data
10,2,4,Reading and Interpreting Data
10,3,4,Basic Probability
